Point,Corner,mc_iteration,temperature,Pass/Fail,Vthn,Id
15,150,15,150,,325.7e-3,
16,150,16,150,,330.3e-3,
17,150,17,150,,350.2e-3,
18,150,18,150,,337.2e-3,
19,150,19,150,,318.3e-3,
20,150,20,150,,329.5e-3,
21,150,21,150,,354.7e-3,
22,150,22,150,,343.9e-3,
23,150,23,150,,323.2e-3,
24,150,24,150,,374.3e-3,
25,150,25,150,,335.4e-3,
26,150,26,150,,341e-3,
27,150,27,150,,331.3e-3,
28,150,28,150,,318.5e-3,
29,150,29,150,,342.1e-3,
30,150,30,150,,351.4e-3,
31,150,31,150,,337.1e-3,
32,150,32,150,,344.3e-3,
33,150,33,150,,325.5e-3,
34,150,34,150,,334.2e-3,
35,150,35,150,,356.6e-3,
36,150,36,150,,337.6e-3,
37,150,37,150,,315.2e-3,
38,150,38,150,,329.4e-3,
39,150,39,150,,348e-3,
40,150,40,150,,351.1e-3,
41,150,41,150,,334.1e-3,
42,150,42,150,,325.7e-3,
43,150,43,150,,338.6e-3,
44,150,44,150,,348e-3,
45,150,45,150,,325.4e-3,
46,150,46,150,,315.1e-3,
47,150,47,150,,336.7e-3,
48,150,48,150,,349.6e-3,
49,150,49,150,,336.4e-3,
50,150,50,150,,317.1e-3,
1,175,1,175,,310.8e-3,
2,175,2,175,,321.2e-3,
3,175,3,175,,299.1e-3,
4,175,4,175,,300.1e-3,
5,175,5,175,,309.9e-3,
6,175,6,175,,325.9e-3,
7,175,7,175,,308.3e-3,
8,175,8,175,,304.5e-3,
9,175,9,175,,326.2e-3,
10,175,10,175,,313.6e-3,
11,175,11,175,,286.5e-3,
12,175,12,175,,310.9e-3,
13,175,13,175,,325.1e-3,
14,175,14,175,,324.7e-3,
15,175,15,175,,302.5e-3,
16,175,16,175,,306.9e-3,
17,175,17,175,,326.9e-3,
18,175,18,175,,313.9e-3,
19,175,19,175,,294.9e-3,
20,175,20,175,,305.9e-3,
21,175,21,175,,331.2e-3,
22,175,22,175,,320.4e-3,
23,175,23,175,,299.7e-3,
24,175,24,175,,350.9e-3,
25,175,25,175,,312e-3,
26,175,26,175,,317.4e-3,
27,175,27,175,,308.3e-3,
28,175,28,175,,294.9e-3,
29,175,29,175,,319e-3,
30,175,30,175,,328e-3,
31,175,31,175,,313.9e-3,
32,175,32,175,,321e-3,
33,175,33,175,,302.1e-3,
34,175,34,175,,310.7e-3,
35,175,35,175,,333.3e-3,
36,175,36,175,,314e-3,
37,175,37,175,,291.6e-3,
38,175,38,175,,305.9e-3,
39,175,39,175,,324.5e-3,
40,175,40,175,,327.7e-3,
41,175,41,175,,310.8e-3,
42,175,42,175,,302.7e-3,
43,175,43,175,,315e-3,
44,175,44,175,,324.9e-3,
45,175,45,175,,301.8e-3,
46,175,46,175,,291.9e-3,
47,175,47,175,,313.3e-3,
48,175,48,175,,326.2e-3,
49,175,49,175,,313.4e-3,
50,175,50,175,,293.4e-3,
1,nom,1,27,,449.9e-3,
2,nom,2,27,,459.1e-3,
3,nom,3,27,,439.8e-3,
4,nom,4,27,,436.2e-3,
5,nom,5,27,,450.9e-3,
6,nom,6,27,,464.1e-3,
7,nom,7,27,,446.8e-3,
8,nom,8,27,,443.6e-3,
9,nom,9,27,,462.6e-3,
10,nom,10,27,,452.5e-3,
11,nom,11,27,,426.1e-3,
12,nom,12,27,,448.9e-3,
13,nom,13,27,,466e-3,
14,nom,14,27,,462e-3,
15,nom,15,27,,439.8e-3,
16,nom,16,27,,445.4e-3,
17,nom,17,27,,464.7e-3,
18,nom,18,27,,452.1e-3,
19,nom,19,27,,433.7e-3,
20,nom,20,27,,445.4e-3,
21,nom,21,27,,470.4e-3,
22,nom,22,27,,459.7e-3,
23,nom,23,27,,438.8e-3,
24,nom,24,27,,489e-3,
25,nom,25,27,,450.5e-3,
26,nom,26,27,,456.9e-3,
27,nom,27,27,,444.8e-3,
28,nom,28,27,,434.9e-3,
29,nom,29,27,,455.8e-3,
30,nom,30,27,,466.4e-3,
31,nom,31,27,,451.2e-3,
32,nom,32,27,,458.8e-3,
33,nom,33,27,,440.6e-3,
34,nom,34,27,,449.5e-3,
35,nom,35,27,,471.5e-3,
36,nom,36,27,,453.3e-3,
37,nom,37,27,,431.2e-3,
