Point,Corner,Vds,Vgs,temperature,Pass/Fail,gm_n,gm_p,ids_n,ids_p,rds_n,rds_p
4,C4_70,1.8,620.7e-3,175,,52.01e-6,149.8e-6,8.783e-6,-78.3e-6,205e3,22.99e3
4,C4_71,1.8,682.8e-3,175,,60.36e-6,141.5e-6,12.27e-6,-69.26e-6,146.7e3,25.99e3
4,C4_72,1.8,744.8e-3,175,,68e-6,133.2e-6,16.26e-6,-60.74e-6,110.7e3,29.64e3
4,C4_73,1.8,806.9e-3,175,,75.09e-6,124.8e-6,20.7e-6,-52.73e-6,86.95e3,34.13e3
4,C4_74,1.8,869e-3,175,,81.68e-6,116.4e-6,25.57e-6,-45.25e-6,70.4e3,39.78e3
4,C4_75,1.8,931e-3,175,,87.81e-6,107.9e-6,30.83e-6,-38.29e-6,58.38e3,47.01e3
4,C4_76,1.8,993.1e-3,175,,93.47e-6,99.44e-6,36.46e-6,-31.85e-6,49.37e3,56.51e3
4,C4_77,1.8,1.055,175,,98.69e-6,90.86e-6,42.42e-6,-25.95e-6,42.43e3,69.37e3
4,C4_78,1.8,1.117,175,,103.5e-6,82.18e-6,48.7e-6,-20.58e-6,36.96e3,87.48e3
4,C4_79,1.8,1.179,175,,107.8e-6,73.26e-6,55.25e-6,-15.75e-6,32.58e3,114.3e3
4,C4_80,1.8,1.241,175,,111.7e-6,63.87e-6,62.07e-6,-11.49e-6,29e3,156.6e3
4,C4_81,1.8,1.303,175,,115.3e-6,53.6e-6,69.11e-6,-7.841e-6,26.05e3,229.6e3
4,C4_82,1.8,1.366,175,,118.4e-6,42e-6,76.36e-6,-4.867e-6,23.57e3,369.9e3
4,C4_83,1.8,1.428,175,,121.2e-6,29.22e-6,83.8e-6,-2.653e-6,21.48e3,678.5e3
4,C4_84,1.8,1.49,175,,123.7e-6,16.92e-6,91.4e-6,-1.231e-6,19.69e3,1.463e6
4,C4_85,1.8,1.552,175,,125.8e-6,7.834e-6,99.14e-6,-484.5e-9,18.16e3,3.715e6
4,C4_86,1.8,1.614,175,,127.6e-6,2.99e-6,107e-6,-168.3e-9,16.82e3,10.69e6
4,C4_87,1.8,1.676,175,,129.1e-6,1.017e-6,115e-6,-53.98e-9,15.66e3,33.35e6
4,C4_88,1.8,1.738,175,,130.4e-6,321.7e-9,123e-6,-16.27e-9,14.63e3,110.6e6
4,C4_89,1.8,1.8,175,,131.4e-6,95.47e-9,131.1e-6,-4.656e-9,13.73e3,386.6e6
5,nom,900e-3,900e-3,27,,136e-6,760.1e-12,37.4e-6,-23.32e-12,24.06e3,38.59e9
5,C0_0,0,0,-50,,0,0,0,-0,inf,inf
5,C0_1,0,62.07e-3,-50,,0,0,0,-0,inf,inf
5,C0_2,0,124.1e-3,-50,,0,0,0,-0,inf,inf
5,C0_3,0,186.2e-3,-50,,0,0,0,-0,inf,inf
5,C0_4,0,248.3e-3,-50,,0,0,0,-0,inf,inf
5,C0_5,0,310.3e-3,-50,,0,0,0,-0,inf,inf
5,C0_6,0,372.4e-3,-50,,0,0,0,-0,inf,inf
5,C0_7,0,434.5e-3,-50,,0,0,0,-0,inf,inf
5,C0_8,0,496.6e-3,-50,,0,0,0,-0,inf,inf
5,C0_9,0,558.6e-3,-50,,0,0,0,-0,inf,inf
5,C0_10,0,620.7e-3,-50,,0,0,0,-0,inf,inf
5,C0_11,0,682.8e-3,-50,,0,0,0,-0,inf,inf
5,C0_12,0,744.8e-3,-50,,0,0,0,-0,inf,inf
5,C0_13,0,806.9e-3,-50,,0,0,0,-0,inf,inf
5,C0_14,0,869e-3,-50,,0,0,0,-0,inf,inf
5,C0_15,0,931e-3,-50,,0,0,0,-0,inf,inf
5,C0_16,0,993.1e-3,-50,,0,0,0,-0,inf,inf
5,C0_17,0,1.055,-50,,0,0,0,-0,inf,inf
5,C0_18,0,1.117,-50,,0,0,0,-0,inf,inf
5,C0_19,0,1.179,-50,,0,0,0,-0,inf,inf
5,C0_20,0,1.241,-50,,0,0,0,-0,inf,inf
5,C0_21,0,1.303,-50,,0,0,0,-0,inf,inf
5,C0_22,0,1.366,-50,,0,0,0,-0,inf,inf
5,C0_23,0,1.428,-50,,0,0,0,-0,inf,inf
5,C0_24,0,1.49,-50,,0,0,0,-0,inf,inf
5,C0_25,0,1.552,-50,,0,0,0,-0,inf,inf
5,C0_26,0,1.614,-50,,0,0,0,-0,inf,inf
5,C0_27,0,1.676,-50,,0,0,0,-0,inf,inf
5,C0_28,0,1.738,-50,,0,0,0,-0,inf,inf
5,C0_29,0,1.8,-50,,0,0,0,-0,inf,inf
